base_seed,replication,contract_id,K,sigma,T,method,monitoring_dates,experiment_role,ncv_epoch,ncv_epoch_source,price,observation_variance,estimator_variance,std_error,ci_lower,ci_upper,pricing_observations,pricing_simulated_paths,pilot_paths,pilot_runtime_s,target_training_paths,target_training_runtime_s,shared_reference_training_paths,shared_reference_training_runtime_s,training_paths,total_simulated_paths,pricing_runtime_s,marginal_runtime_s,standalone_runtime_s,beta,corr_f_c0,param_hash,hash_verified,error,training_data_generation_runtime_s,optimizer_cumulative_training_runtime_s,validation_generation_and_evaluation_runtime_s,ncv_setup_cost_s,setup_cost_excludes_validation_generation_and_evaluation_runtime,validation_generation_and_evaluation_runtime_cost_scope,n_pricing,payoff_variance,control_variance,payoff_control_covariance,optimal_residual_variance,optimal_residual_variance_status,observed_residual_variance,residual_variance_beta_one,variance_improvement_from_estimating_beta,variance_improvement_from_estimating_beta_definition,e_h0,training_runtime_s,end_to_end_runtime_s,var_c0_pilot
42,0,maturity_short,100.0,0.2,0.5,NCV_SCRATCH,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,200,capacity_and_data_sensitivity_best_tested_configuration,4.095481040673223,28.09164166913097,0.14045820834565484,0.3747775451459904,3.3609170521870824,4.830045029159365,200,200,0,0.0,100,0.22377409699993223,0,0.0,100,300,0.004834814999981063,0.004834814999981063,0.2286089119999133,nan,nan,,,,0.001165064000019811,0.22260903299991242,0.0,0.22377409699993223,True,research_tuning_overhead_excluded_from_operational_setup_cost,,,,,,,,,,,,,,
42,0,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,200,capacity_and_data_sensitivity_best_tested_configuration,4.062987837374711,25.22517281871126,0.1261258640935563,0.35514203369012276,3.36690945134207,4.759066223407351,200,200,0,0.0,0,0.0,100,1.2069169470000816,0,200,0.0054666889999452906,0.0054666889999452906,1.2123836360000269,1.0,0.4659332969050072,da51e340e039cb3d410e5a84f2f4c5d7180fa3d55f3225e03d0f655ed80116df,True,,,,,,,,200,31.646185831634924,10.8327425586601,8.626877785791889,24.775993917815924,ok,25.22517281871126,25.22517281871126,1.0,residual_variance_beta_one / observed_residual_variance,2.7599529067377064,1.2069169470000816,1.2123836360000269,
42,0,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,200,capacity_and_data_sensitivity_best_tested_configuration,4.055335369922701,24.940847293096645,0.12470423646548323,0.3531348700786758,3.363191024568496,4.7474797152769055,200,200,50,0.0007133380000823308,0,0.0,100,1.2069169470000816,0,250,0.0018757469999854948,0.0018757469999854948,1.2095060320001494,0.6730090890992181,0.3599432214067983,da51e340e039cb3d410e5a84f2f4c5d7180fa3d55f3225e03d0f655ed80116df,True,,,,,,,,200,31.646185831634924,10.8327425586601,8.626877785791889,24.775993917815924,ok,24.940847293096645,25.225172818711258,1.0113999946462648,residual_variance_beta_one / observed_residual_variance,2.7599529067377064,1.2069169470000816,1.2095060320001494,6.961122283285826
42,0,maturity_long,100.0,0.2,2.0,MC,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,8.743032465169701,141.61846855213227,0.7080923427606614,0.8414822296166814,7.093727295121006,10.392337635218396,200,200,0,0.0,0,0.0,0,0.0,0,200,0.0015911130000176854,0.0015911130000176854,0.0015911130000176854,nan,nan,,,,,,,,,,,,,,,,,,,,,,,
42,0,maturity_long,100.0,0.2,2.0,AV,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,9.042701953474065,43.18382265068958,0.2159191132534479,0.4646709731126401,8.13194684617329,9.95345706077484,200,400,0,0.0,0,0.0,0,0.0,0,400,0.0024263089999294607,0.0024263089999294607,0.0024263089999294607,nan,nan,,,,,,,,,,,,,,,,,,,,,,,
42,0,maturity_long,100.0,0.2,2.0,GCV,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,8.813528624086716,0.41799350322497975,0.0020899675161248988,0.04571616252623244,8.7239249455353,8.903132302638133,200,200,50,0.0010479950000217286,0,0.0,0,0.0,0,250,0.002101318999962132,0.002101318999962132,0.0031493139999838604,1.0526000940369398,0.9996112652533087,,,,,,,,,,,,,,,,,,,,,,,
42,0,maturity_long,100.0,0.2,2.0,NCV_SCRATCH,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,200,capacity_and_data_sensitivity_best_tested_configuration,8.466026163828367,130.055886451893,0.650279432259465,0.8063990527396873,6.8854840204585805,10.046568307198154,200,200,0,0.0,100,0.19051093399991714,0,0.0,100,300,0.0041696670000419545,0.0041696670000419545,0.1946806009999591,nan,nan,,,,0.0011590729999397809,0.18935186099997736,0.0,0.19051093399991714,True,research_tuning_overhead_excluded_from_operational_setup_cost,,,,,,,,,,,,,,
42,0,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,200,capacity_and_data_sensitivity_best_tested_configuration,8.692328061430047,138.7189423129745,0.6935947115648724,0.8328233375481696,7.059994319835634,10.324661803024458,200,200,0,0.0,0,0.0,100,1.2069169470000816,0,200,0.002488726000024144,0.002488726000024144,1.2094056730001057,1.0,0.16922165754591692,da51e340e039cb3d410e5a84f2f4c5d7180fa3d55f3225e03d0f655ed80116df,True,,,,,,,,200,141.61846855213227,9.541336088784265,6.220431163971018,137.56308642266447,ok,138.7189423129745,138.7189423129745,1.0,residual_variance_beta_one / observed_residual_variance,2.7599529067377064,1.2069169470000816,1.2094056730001057,
42,0,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,200,capacity_and_data_sensitivity_best_tested_configuration,8.656140338000677,148.31924652173976,0.7415962326086988,0.8611598182734136,6.968267094184786,10.344013581816567,200,200,50,0.0006746750000274915,0,0.0,100,1.2069169470000816,0,250,0.00187331200004337,0.00187331200004337,1.2094649340001524,1.7136998122526044,0.5544926831039679,da51e340e039cb3d410e5a84f2f4c5d7180fa3d55f3225e03d0f655ed80116df,True,,,,,,,,200,141.61846855213227,9.541336088784265,6.220431163971018,137.56308642266447,ok,148.31924652173976,138.71894231297446,0.9352727010559743,residual_variance_beta_one / observed_residual_variance,2.7599529067377064,1.2069169470000816,1.2094649340001524,11.628620302571317
42,1,reference,100.0,0.2,1.0,MC,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,6.486790764870932,82.22385967598294,0.4111192983799147,0.641185853228153,5.230066492543752,7.743515037198112,200,200,0,0.0,0,0.0,0,0.0,0,200,0.0013238239999964208,0.0013238239999964208,0.0013238239999964208,nan,nan,,,,,,,,,,,,,,,,,,,,,,,
42,1,reference,100.0,0.2,1.0,AV,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,6.675955262122807,20.546776480932404,0.10273388240466202,0.3205212666963957,6.047733579397872,7.304176944847742,200,400,0,0.0,0,0.0,0,0.0,0,400,0.001848127000016575,0.001848127000016575,0.001848127000016575,nan,nan,,,,,,,,,,,,,,,,,,,,,,,
42,1,reference,100.0,0.2,1.0,GCV,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,5.78808538812044,0.053123506081633826,0.0002656175304081691,0.01629777685477897,5.756141745485073,5.820029030755808,200,200,50,0.0008556450000014593,0,0.0,0,0.0,0,250,0.001514300999929219,0.001514300999929219,0.0023699459999306782,1.026809168442745,0.99975296331211,,,,,,,,,,,,,,,,,,,,,,,
42,1,reference,100.0,0.2,1.0,NCV_SCRATCH,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,200,capacity_and_data_sensitivity_best_tested_configuration,6.644498418963158,73.6048851046759,0.3680244255233795,0.6066501673315351,5.455464090993349,7.833532746932967,200,200,0,0.0,100,0.1356874030000199,0,0.0,100,300,0.004262396000058288,0.004262396000058288,0.1399497990000782,nan,nan,,,,0.0008768850000251405,0.13481051799999477,0.0,0.1356874030000199,True,research_tuning_overhead_excluded_from_operational_setup_cost,,,,,,,,,,,,,,
42,1,strike_low,80.0,0.2,1.0,MC,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,20.841327025810507,115.13872005908681,0.575693600295434,0.758744753059574,19.354187309813742,22.328466741807272,200,200,0,0.0,0,0.0,0,0.0,0,200,0.0016566279999778999,0.0016566279999778999,0.0016566279999778999,nan,nan,,,,,,,,,,,,,,,,,,,,,,,
42,1,strike_low,80.0,0.2,1.0,AV,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,21.41811361359497,1.7083816646078716,0.008541908323039358,0.09242244490944479,21.236965621572455,21.59926160561748,200,400,0,0.0,0,0.0,0,0.0,0,400,0.0024385440000287417,0.0024385440000287417,0.0024385440000287417,nan,nan,,,,,,,,,,,,,,,,,,,,,,,
