result_type,projection_scope,setup_reuse_assumption,contract_id,method,Q,budget_paths_per_valuation,pricing_observations,pricing_simulated_paths,training_paths,pilot_paths,shared_paths,setup_paths_counted_once,paths_per_pricing_observation,pricing_independent_random_vectors_per_valuation,setup_independent_random_vectors_counted_once,total_independent_random_vectors,pricing_payoff_evaluations_per_valuation,total_payoff_evaluations,validation_paths,total_paths_used,feasible,failure_reason,total_budget_paths,budget_constraint_satisfied,projected_estimator_standard_error
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,GCV,5,200,190,190,0,50,0,50,1,190,50,1000,190,1000,0,1000,True,,1000,True,0.09021648497107983
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,NCV_SCRATCH,5,200,180,180,100,0,0,100,1,180,100,1000,180,1000,0,1000,True,,1000,True,1.376584942703454
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,NCV_TRANSFER_BETA1,5,200,180,180,0,0,100,100,1,180,100,1000,180,1000,0,1000,True,,1000,True,1.3906159453998619
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,NCV_TRANSFER_BETA,5,200,170,170,0,50,100,150,1,170,150,1000,170,1000,0,1000,True,,1000,True,1.401862414913512
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,MC,5,200,200,200,0,0,0,0,1,200,0,1000,200,1000,0,1000,True,,1000,True,0.4002995559145653
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,AV,5,200,100,200,0,0,0,0,2,100,0,500,200,1000,0,1000,True,,1000,True,0.27110501988324887
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,GCV,5,200,190,190,0,50,0,50,1,190,50,1000,190,1000,0,1000,True,,1000,True,0.008190098505361763
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,NCV_SCRATCH,5,200,180,180,100,0,0,100,1,180,100,1000,180,1000,0,1000,True,,1000,True,0.3909668014608357
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,NCV_TRANSFER_BETA1,5,200,180,180,0,0,100,100,1,180,100,1000,180,1000,0,1000,True,,1000,True,0.39574648996371564
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,NCV_TRANSFER_BETA,5,200,170,170,0,50,100,150,1,170,150,1000,170,1000,0,1000,True,,1000,True,0.42912319442965746
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,MC,5,200,200,200,0,0,0,0,1,200,0,1000,200,1000,0,1000,True,,1000,True,0.9041954316037777
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,AV,5,200,100,200,0,0,0,0,2,100,0,500,200,1000,0,1000,True,,1000,True,0.6373759050040051
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,GCV,5,200,190,190,0,50,0,50,1,190,50,1000,190,1000,0,1000,True,,1000,True,0.04369363255597907
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,NCV_SCRATCH,5,200,180,180,100,0,0,100,1,180,100,1000,180,1000,0,1000,True,,1000,True,0.8835184044677772
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,NCV_TRANSFER_BETA1,5,200,180,180,0,0,100,100,1,180,100,1000,180,1000,0,1000,True,,1000,True,0.8942339566156616
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,NCV_TRANSFER_BETA,5,200,170,170,0,50,100,150,1,170,150,1000,170,1000,0,1000,True,,1000,True,0.9215092685070888
