replication,contract_id,method,comparator,variance_ratio,is_valid,beats_comparator
1,maturity_long,PCNCV_BETA,GCV,0.008329969703459467,True,False
1,maturity_long,PCNCV_BETA1,NCV_TRANSFER_BETA1,1.2671123799707824,True,True
1,maturity_long,PCNCV_BETA,NCV_TRANSFER_BETA,1.6369866846224246,True,True
1,maturity_long,PCNCV_BETA1,GCV,0.004423403198055529,True,False
1,maturity_long,PCNCV_BETA,GCV,0.008329969703459467,True,False
1,maturity_long,PCNCV_BETA1,NCV_TRANSFER_BETA1,1.2671123799707824,True,True
1,maturity_long,PCNCV_BETA,NCV_TRANSFER_BETA,1.6369866846224246,True,True
1,maturity_long,PCNCV_BETA1,GCV,0.004423403198055529,True,False
1,maturity_long,PCNCV_BETA,GCV,0.008329969703459467,True,False
1,maturity_long,PCNCV_BETA1,NCV_TRANSFER_BETA1,1.2671123799707824,True,True
1,maturity_long,PCNCV_BETA,NCV_TRANSFER_BETA,1.6369866846224246,True,True
1,maturity_short,PCNCV_BETA1,GCV,0.0003955378329822379,True,False
1,maturity_short,PCNCV_BETA,GCV,0.0005314093826561579,True,False
1,maturity_short,PCNCV_BETA1,NCV_TRANSFER_BETA1,1.3428760596059675,True,True
1,maturity_short,PCNCV_BETA,NCV_TRANSFER_BETA,1.2662747582115377,True,True
1,maturity_short,PCNCV_BETA1,GCV,0.0003955378329822379,True,False
1,maturity_short,PCNCV_BETA,GCV,0.0005314093826561579,True,False
1,maturity_short,PCNCV_BETA1,NCV_TRANSFER_BETA1,1.3428760596059675,True,True
1,maturity_short,PCNCV_BETA,NCV_TRANSFER_BETA,1.2662747582115377,True,True
1,maturity_short,PCNCV_BETA1,GCV,0.0003955378329822379,True,False
1,maturity_short,PCNCV_BETA,GCV,0.0005314093826561579,True,False
1,maturity_short,PCNCV_BETA1,NCV_TRANSFER_BETA1,1.3428760596059675,True,True
1,maturity_short,PCNCV_BETA,NCV_TRANSFER_BETA,1.2662747582115377,True,True
1,maturity_short,PCNCV_BETA1,GCV,0.0003955378329822379,True,False
1,maturity_short,PCNCV_BETA,GCV,0.0005314093826561579,True,False
1,maturity_short,PCNCV_BETA1,NCV_TRANSFER_BETA1,1.3428760596059675,True,True
1,maturity_short,PCNCV_BETA,NCV_TRANSFER_BETA,1.2662747582115377,True,True
1,maturity_short,PCNCV_BETA1,GCV,0.0003955378329822379,True,False
1,maturity_short,PCNCV_BETA,GCV,0.0005314093826561579,True,False
1,maturity_short,PCNCV_BETA1,NCV_TRANSFER_BETA1,1.3428760596059675,True,True
1,maturity_short,PCNCV_BETA,NCV_TRANSFER_BETA,1.2662747582115377,True,True
1,maturity_short,PCNCV_BETA1,GCV,0.0003955378329822379,True,False
1,maturity_short,PCNCV_BETA,GCV,0.0005314093826561579,True,False
1,maturity_short,PCNCV_BETA1,NCV_TRANSFER_BETA1,1.3428760596059675,True,True
1,maturity_short,PCNCV_BETA,NCV_TRANSFER_BETA,1.2662747582115377,True,True
1,reference,PCNCV_BETA1,GCV,0.0009948111049730972,True,False
1,reference,PCNCV_BETA,GCV,0.001627067762263859,True,False
1,reference,PCNCV_BETA1,NCV_TRANSFER_BETA1,1.302890413044201,True,True
1,reference,PCNCV_BETA,NCV_TRANSFER_BETA,1.535722080418184,True,True
1,reference,PCNCV_BETA1,GCV,0.0009948111049730972,True,False
1,reference,PCNCV_BETA,GCV,0.001627067762263859,True,False
1,reference,PCNCV_BETA1,NCV_TRANSFER_BETA1,1.302890413044201,True,True
1,reference,PCNCV_BETA,NCV_TRANSFER_BETA,1.535722080418184,True,True
1,reference,PCNCV_BETA1,GCV,0.0009948111049730972,True,False
1,reference,PCNCV_BETA,GCV,0.001627067762263859,True,False
1,reference,PCNCV_BETA1,NCV_TRANSFER_BETA1,1.302890413044201,True,True
1,reference,PCNCV_BETA,NCV_TRANSFER_BETA,1.535722080418184,True,True
1,reference,PCNCV_BETA1,GCV,0.0009948111049730972,True,False
1,reference,PCNCV_BETA,GCV,0.001627067762263859,True,False
1,reference,PCNCV_BETA1,NCV_TRANSFER_BETA1,1.302890413044201,True,True
1,reference,PCNCV_BETA,NCV_TRANSFER_BETA,1.535722080418184,True,True
1,reference,PCNCV_BETA1,GCV,0.0009948111049730972,True,False
1,reference,PCNCV_BETA,GCV,0.001627067762263859,True,False
