result_type,projection_scope,setup_reuse_assumption,contract_id,method,Q,budget_paths_per_valuation,pricing_observations,pricing_simulated_paths,training_paths,pilot_paths,shared_paths,setup_paths_counted_once,paths_per_pricing_observation,pricing_independent_random_vectors_per_valuation,setup_independent_random_vectors_counted_once,total_independent_random_vectors,pricing_payoff_evaluations_per_valuation,total_payoff_evaluations,validation_paths,total_paths_used,feasible,failure_reason,total_budget_paths,budget_constraint_satisfied,projected_estimator_standard_error
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,NCV_TRANSFER_BETA,5,50000,45800,45800,0,1000,20000,21000,1,45800,21000,250000,45800,250000,0,250000,True,,250000,True,0.0005733299885721137
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,MC,5,50000,50000,50000,0,0,0,0,1,50000,0,250000,50000,250000,0,250000,True,,250000,True,0.05305582121821044
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,AV,5,50000,25000,50000,0,0,0,0,2,25000,0,125000,50000,250000,0,250000,True,,250000,True,0.036243293860750016
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,GCV,5,50000,49800,49800,0,1000,0,1000,1,49800,1000,250000,49800,250000,0,250000,True,,250000,True,0.0021580602598262957
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,NCV_SCRATCH,5,50000,46000,46000,20000,0,0,20000,1,46000,20000,250000,46000,250000,0,250000,True,,250000,True,0.0011961798565172333
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,NCV_TRANSFER_BETA1,5,50000,46000,46000,0,0,20000,20000,1,46000,20000,250000,46000,250000,0,250000,True,,250000,True,0.01813695547740073
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,NCV_TRANSFER_BETA,5,50000,45800,45800,0,1000,20000,21000,1,45800,21000,250000,45800,250000,0,250000,True,,250000,True,0.001888216962559336
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,reference,MC,10,50000,50000,50000,0,0,0,0,1,50000,0,500000,50000,500000,0,500000,True,,500000,True,0.035716395942955594
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,reference,AV,10,50000,25000,50000,0,0,0,0,2,25000,0,250000,50000,500000,0,500000,True,,500000,True,0.02474055642210764
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,reference,GCV,10,50000,49900,49900,0,1000,0,1000,1,49900,1000,500000,49900,500000,0,500000,True,,500000,True,0.0009843054240308076
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,reference,NCV_SCRATCH,10,50000,48000,48000,20000,0,0,20000,1,48000,20000,500000,48000,500000,0,500000,True,,500000,True,0.0006653740005456008
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,MC,10,50000,50000,50000,0,0,0,0,1,50000,0,500000,50000,500000,0,500000,True,,500000,True,0.05049838392548276
