base_seed,replication,contract_id,K,sigma,T,method,monitoring_dates,experiment_role,ncv_epoch,ncv_epoch_source,estimated_beta,payoff_control_correlation,payoff_variance,control_variance,payoff_control_covariance,optimal_residual_variance,optimal_residual_variance_status,observed_residual_variance,residual_variance_beta_one,variance_improvement_from_estimating_beta,variance_improvement_from_estimating_beta_definition,parameter_hash,hash_verification,target_training_paths,pilot_paths,pricing_paths,marginal_runtime_s,error
42,2,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.0,0.9997461028254493,29.393994875862454,63.54829287025605,43.20867721826917,0.01492420964754615,ok,6.524933309580106,6.524933309580106,1.0,residual_variance_beta_one / observed_residual_variance,c46ce45051a7a9765cd32972245d223b0efb4962f16fbc80ab12c0eb9b211779,True,0,0,50000,0.3570652850000897,
42,2,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,0.6789705416407885,0.9997564776739828,29.393994875862454,63.54829287025605,43.20867721826917,0.01492420964754615,ok,0.014983260644902217,6.524933309580106,435.4815326395658,residual_variance_beta_one / observed_residual_variance,c46ce45051a7a9765cd32972245d223b0efb4962f16fbc80ab12c0eb9b211779,True,0,1000,50000,0.3550302890000694,
42,2,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.0,0.9994520883201308,139.1352013087235,63.026876763873176,93.59300327547693,0.15242583436520363,ok,14.976071521642776,14.976071521642776,1.0,residual_variance_beta_one / observed_residual_variance,c46ce45051a7a9765cd32972245d223b0efb4962f16fbc80ab12c0eb9b211779,True,0,0,50000,0.3600800590002109,
42,2,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.4828676793611852,0.9995334120366751,139.1352013087235,63.026876763873176,93.59300327547693,0.15242583436520363,ok,0.15270432222323196,14.976071521642776,98.07234859894727,residual_variance_beta_one / observed_residual_variance,c46ce45051a7a9765cd32972245d223b0efb4962f16fbc80ab12c0eb9b211779,True,0,1000,50000,0.3556091430000379,
42,3,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.0,0.9167474365916205,127.362808288925,63.727758550003806,82.59149726442652,20.3238102826258,ok,25.90757231007579,25.90757231007579,1.0,residual_variance_beta_one / observed_residual_variance,72cbe26e77a2e42959aef381203aff84fc8b30e78146cd5269c0385c15248218,True,0,0,50000,0.3552608809998219,
42,3,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.2972105433043555,0.9203701833823599,127.362808288925,63.727758550003806,82.59149726442652,20.3238102826258,ok,20.323902891839374,25.90757231007579,1.2747341122397517,residual_variance_beta_one / observed_residual_variance,72cbe26e77a2e42959aef381203aff84fc8b30e78146cd5269c0385c15248218,True,0,1000,50000,0.35711611000010635,
42,3,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.0,0.6806900178101792,6.2650560636337875,64.92989506428432,13.72885168025709,3.362211876501026,ok,43.73724776740397,43.73724776740397,1.0,residual_variance_beta_one / observed_residual_variance,72cbe26e77a2e42959aef381203aff84fc8b30e78146cd5269c0385c15248218,True,0,0,50000,0.3556610959999489,
42,3,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,0.18118386522154667,0.6642083264572123,6.2650560636337875,64.92989506428432,13.72885168025709,3.362211876501026,ok,3.421655408451324,43.737247767403964,12.782481736581383,residual_variance_beta_one / observed_residual_variance,72cbe26e77a2e42959aef381203aff84fc8b30e78146cd5269c0385c15248218,True,0,1000,50000,0.3562683449999895,
42,3,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.0,0.9897402666951867,17.54291323104448,62.72388104541884,32.831336201270446,0.35812461791102024,ok,14.604121873922466,14.604121873922466,1.0,residual_variance_beta_one / observed_residual_variance,72cbe26e77a2e42959aef381203aff84fc8b30e78146cd5269c0385c15248218,True,0,0,50000,0.3644229559999985,
42,3,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,0.5232963125216271,0.9892445108879417,17.54291323104448,62.72388104541884,32.831336201270446,0.35812461791102024,ok,0.3581256796193339,14.604121873922464,40.77932051520508,residual_variance_beta_one / observed_residual_variance,72cbe26e77a2e42959aef381203aff84fc8b30e78146cd5269c0385c15248218,True,0,1000,50000,0.3594132549999358,
