contract_id,method,Q,declared_budget_paths,shared_reference_training_paths_per_valuation,pilot_paths,target_training_paths,pricing_observations,pricing_simulated_paths,total_used_paths,feasible,infeasible_reason,estimated_observation_variance,estimated_estimator_variance,estimated_standard_error
volatility_low,GCV,1,10000,0,2000,0,8000,8000,10000,True,,0.003779241936504669,4.724052420630836e-07,0.0006873174245303865
volatility_low,NCV_SCRATCH,1,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_low,NCV_TRANSFER_BETA1,1,10000,10000,0,0,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_low,NCV_TRANSFER_BETA,1,10000,10000,2000,0,-2000,-2000,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_low,MC,5,10000,0,0,0,10000,10000,10000,True,,17.877465730602992,0.0017877465730602993,0.04228175224680618
volatility_low,AV,5,10000,0,0,0,5000,10000,10000,True,,2.81136214988398,0.000562272429976796,0.023712284368588278
volatility_low,GCV,5,10000,0,2000,0,8000,8000,10000,True,,0.003779241936504669,4.724052420630836e-07,0.0006873174245303865
volatility_low,NCV_SCRATCH,5,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_low,NCV_TRANSFER_BETA1,5,10000,2000,0,0,8000,8000,10000,True,,,nan,nan
volatility_low,NCV_TRANSFER_BETA,5,10000,2000,2000,0,6000,6000,10000,True,,,nan,nan
volatility_low,MC,10,10000,0,0,0,10000,10000,10000,True,,17.877465730602992,0.0017877465730602993,0.04228175224680618
volatility_low,AV,10,10000,0,0,0,5000,10000,10000,True,,2.81136214988398,0.000562272429976796,0.023712284368588278
volatility_low,GCV,10,10000,0,2000,0,8000,8000,10000,True,,0.003779241936504669,4.724052420630836e-07,0.0006873174245303865
volatility_low,NCV_SCRATCH,10,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_low,NCV_TRANSFER_BETA1,10,10000,1000,0,0,9000,9000,10000,True,,,nan,nan
volatility_low,NCV_TRANSFER_BETA,10,10000,1000,2000,0,7000,7000,10000,True,,,nan,nan
volatility_low,MC,25,10000,0,0,0,10000,10000,10000,True,,17.877465730602992,0.0017877465730602993,0.04228175224680618
volatility_low,AV,25,10000,0,0,0,5000,10000,10000,True,,2.81136214988398,0.000562272429976796,0.023712284368588278
volatility_low,GCV,25,10000,0,2000,0,8000,8000,10000,True,,0.003779241936504669,4.724052420630836e-07,0.0006873174245303865
volatility_low,NCV_SCRATCH,25,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_low,NCV_TRANSFER_BETA1,25,10000,400,0,0,9600,9600,10000,True,,,nan,nan
volatility_low,NCV_TRANSFER_BETA,25,10000,400,2000,0,7600,7600,10000,True,,,nan,nan
volatility_low,MC,50,10000,0,0,0,10000,10000,10000,True,,17.877465730602992,0.0017877465730602993,0.04228175224680618
volatility_low,AV,50,10000,0,0,0,5000,10000,10000,True,,2.81136214988398,0.000562272429976796,0.023712284368588278
volatility_low,GCV,50,10000,0,2000,0,8000,8000,10000,True,,0.003779241936504669,4.724052420630836e-07,0.0006873174245303865
