replication,monitoring_dates,ncv_epoch,trajectory_id,training_data_generation_runtime_s,optimizer_cumulative_training_runtime_s,ncv_setup_cost_s,gcv_setup_cost_s,gcv_marginal_pricing_runtime_s,ncv_marginal_pricing_runtime_50000_s,ncv_marginal_pricing_runtime_matched_measured_s,ncv_marginal_pricing_runtime_matched_projected_s,break_even_q,break_even_failure_reason
9,252,1000,rep9_m252,1.002000090011279e-06,15.218467272999987,15.218468275000077,0.00014033299999027804,0.39544131599996035,0.3402007639999738,NA,2.347262799324779,NA,proposed_marginal_not_below_baseline_no_finite_break_even
10,12,25,rep10_m12,8.819999948173063e-07,0.2712933130001147,0.27129419500010954,0.0001649799999086099,0.0267647069999839,0.026391847000013513,0.0395222360000389,0.04503715906858306,NA,proposed_marginal_not_below_baseline_no_finite_break_even
10,12,1000,rep10_m12,8.819999948173063e-07,10.849322191000056,10.84932307300005,0.0001649799999086099,0.02672118599980422,0.02363391199992293,0.0015294049999283743,0.0013154635419157102,431,
10,252,25,rep10_m252,8.009999419300584e-07,0.3964170379999814,0.39641783899992333,0.0001719940000839415,0.39407994399994095,0.3389307039999494,NA,1.6703047382243907,NA,proposed_marginal_not_below_baseline_no_finite_break_even
10,252,1000,rep10_m252,8.009999419300584e-07,15.253736969999864,15.253737770999805,0.0001719940000839415,0.39537367599996287,0.3395594959999926,NA,1.649186142552604,NA,proposed_marginal_not_below_baseline_no_finite_break_even
11,12,25,rep11_m12,1.0510000265639974e-06,0.2743588420000833,0.2743598930001099,0.0001332100000581704,0.02663741900005334,0.024380386000075305,0.050077055999963704,0.05300929806452373,NA,proposed_marginal_not_below_baseline_no_finite_break_even
11,12,1000,rep11_m12,1.0510000265639974e-06,10.783605282000053,10.78360633300008,0.0001332100000581704,0.026691650999964622,0.025582235000001674,0.004149068999822703,0.0011215251824000733,479,
11,252,25,rep11_m252,8.009999419300584e-07,0.3943320450000556,0.3943328459999975,0.00013508399979400565,0.3949362209998526,0.34051809400011734,NA,1.7984531238235,NA,proposed_marginal_not_below_baseline_no_finite_break_even
11,252,1000,rep11_m252,8.009999419300584e-07,15.076669353999932,15.076670154999874,0.00013508399979400565,0.39363828400018974,0.33858914900019954,NA,2.0589538432872336,NA,proposed_marginal_not_below_baseline_no_finite_break_even
12,12,25,rep12_m12,9.210000371240312e-07,0.27212564499996006,0.2721265659999972,0.00012941299996782618,0.02660162200004379,0.025530710000111867,0.04948760999991464,0.05599088948704534,NA,proposed_marginal_not_below_baseline_no_finite_break_even
12,12,1000,rep12_m12,9.210000371240312e-07,10.864745436000021,10.864746357000058,0.00012941299996782618,0.026657307000050423,0.02358150600002773,0.0018674499999633554,0.0016676841043219612,439,
12,252,25,rep12_m252,7.310000000870787e-07,0.3947203959999115,0.3947211269999116,0.00017441799991502194,0.3936066060000485,0.3396165869999095,NA,1.7045424424842859,NA,proposed_marginal_not_below_baseline_no_finite_break_even
12,252,1000,rep12_m252,7.310000000870787e-07,15.170245545999933,15.170246276999933,0.00017441799991502194,0.3943887159998667,0.3395988350000607,NA,1.6856531533364014,NA,proposed_marginal_not_below_baseline_no_finite_break_even
13,12,25,rep13_m12,8.619999789516442e-07,0.2734659200000351,0.27346678200001406,0.00013396100007412315,0.02661846599994533,0.024409304000073462,0.05290509899987228,0.057873971598094175,NA,proposed_marginal_not_below_baseline_no_finite_break_even
13,12,1000,rep13_m12,8.619999789516442e-07,10.858306500000026,10.858307362000005,0.00013396100007412315,0.026618315999940023,0.023486028000206716,0.001547579000089172,0.0013156872885715803,434,
13,252,25,rep13_m252,9.119999049289618e-07,0.39540134100002433,0.39540225299992926,0.00013435300002129225,0.3941957360000288,0.33911215800003447,NA,1.6979210106198528,NA,proposed_marginal_not_below_baseline_no_finite_break_even
13,252,1000,rep13_m252,9.119999049289618e-07,15.109149350000052,15.109150261999957,0.00013435300002129225,0.394427541000141,0.340308197000013,NA,1.9474068511686344,NA,proposed_marginal_not_below_baseline_no_finite_break_even
14,12,25,rep14_m12,8.120000529743265e-07,0.26989848199991684,0.2698992939999698,0.00013599500016425736,0.026609880000023622,0.04014258699999118,0.04883527599986337,0.07986528253996246,NA,proposed_marginal_not_below_baseline_no_finite_break_even
14,12,1000,rep14_m12,8.120000529743265e-07,10.74041996599999,10.740420778000043,0.00013599500016425736,0.027953915999887613,0.026493400999925143,0.00397821800015663,0.001212867897776573,448,
14,252,25,rep14_m252,1.3520000265998533e-06,0.39141801699997814,0.39141936900000474,0.00013655700013259775,0.39633203600010347,0.3391391160000694,NA,2.0348346960004164,NA,proposed_marginal_not_below_baseline_no_finite_break_even
14,252,1000,rep14_m252,1.3520000265998533e-06,15.031509888999835,15.031511240999862,0.00013655700013259775,0.3932821660000627,0.3398807050000414,NA,2.190605917480367,NA,proposed_marginal_not_below_baseline_no_finite_break_even
15,12,25,rep15_m12,1.311999994868529e-06,0.2702927120001277,0.2702940240001226,0.00013220899995758373,0.02665418099991257,0.023382642000115084,0.0478184930000225,0.048049926351716496,NA,proposed_marginal_not_below_baseline_no_finite_break_even
15,12,1000,rep15_m12,1.311999994868529e-06,10.79524987600007,10.795251188000066,0.00013220899995758373,0.026665912999987995,0.02353589000017564,0.001362169999993057,0.0009781515884072997,427,
15,252,25,rep15_m252,1.3330000001587905e-06,0.3972387599999365,0.3972400929999367,0.00013141699992047506,0.39364326800000526,0.341011528999843,NA,1.8488417460867088,NA,proposed_marginal_not_below_baseline_no_finite_break_even
