base_seed,replication,contract_id,K,sigma,T,method,pricing_seed,pilot_seed,target_training_seed,error
42,11,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,1105542,1104542,1103542,torch_not_available
42,11,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,1105542,1104542,1103542,torch_not_available
42,11,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,1105642,1104642,1103642,torch_not_available
42,11,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,1105642,1104642,1103642,torch_not_available
42,12,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,1205142,1204142,1203142,torch_not_available
42,12,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,1205142,1204142,1203142,torch_not_available
42,12,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,1205242,1204242,1203242,torch_not_available
42,12,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,1205242,1204242,1203242,torch_not_available
42,12,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,1205342,1204342,1203342,torch_not_available
42,12,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,1205342,1204342,1203342,torch_not_available
42,12,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,1205442,1204442,1203442,torch_not_available
42,12,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,1205442,1204442,1203442,torch_not_available
42,12,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,1205542,1204542,1203542,torch_not_available
42,12,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,1205542,1204542,1203542,torch_not_available
42,12,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,1205642,1204642,1203642,torch_not_available
42,12,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,1205642,1204642,1203642,torch_not_available
42,13,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,1305142,1304142,1303142,torch_not_available
42,13,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,1305142,1304142,1303142,torch_not_available
42,13,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,1305242,1304242,1303242,torch_not_available
42,13,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,1305242,1304242,1303242,torch_not_available
42,13,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,1305342,1304342,1303342,torch_not_available
42,13,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,1305342,1304342,1303342,torch_not_available
42,13,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,1305442,1304442,1303442,torch_not_available
42,13,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,1305442,1304442,1303442,torch_not_available
42,13,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,1305542,1304542,1303542,torch_not_available
42,13,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,1305542,1304542,1303542,torch_not_available
42,13,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,1305642,1304642,1303642,torch_not_available
42,13,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,1305642,1304642,1303642,torch_not_available
42,14,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,1405142,1404142,1403142,torch_not_available
42,14,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,1405142,1404142,1403142,torch_not_available
42,14,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,1405242,1404242,1403242,torch_not_available
42,14,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,1405242,1404242,1403242,torch_not_available
42,14,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,1405342,1404342,1403342,torch_not_available
42,14,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,1405342,1404342,1403342,torch_not_available
42,14,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,1405442,1404442,1403442,torch_not_available
42,14,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,1405442,1404442,1403442,torch_not_available
42,14,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,1405542,1404542,1403542,torch_not_available
42,14,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,1405542,1404542,1403542,torch_not_available
42,14,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,1405642,1404642,1403642,torch_not_available
42,14,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,1405642,1404642,1403642,torch_not_available
42,15,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,1505142,1504142,1503142,torch_not_available
42,15,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,1505142,1504142,1503142,torch_not_available
42,15,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,1505242,1504242,1503242,torch_not_available
42,15,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,1505242,1504242,1503242,torch_not_available
42,15,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,1505342,1504342,1503342,torch_not_available
42,15,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,1505342,1504342,1503342,torch_not_available
42,15,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,1505442,1504442,1503442,torch_not_available
42,15,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,1505442,1504442,1503442,torch_not_available
42,15,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,1505542,1504542,1503542,torch_not_available
42,15,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,1505542,1504542,1503542,torch_not_available
42,15,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,1505642,1504642,1503642,torch_not_available
42,15,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,1505642,1504642,1503642,torch_not_available
42,16,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,1605142,1604142,1603142,torch_not_available
42,16,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,1605142,1604142,1603142,torch_not_available
42,16,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,1605242,1604242,1603242,torch_not_available
42,16,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,1605242,1604242,1603242,torch_not_available
42,16,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,1605342,1604342,1603342,torch_not_available
42,16,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,1605342,1604342,1603342,torch_not_available
42,16,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,1605442,1604442,1603442,torch_not_available
42,16,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,1605442,1604442,1603442,torch_not_available
42,16,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,1605542,1604542,1603542,torch_not_available
42,16,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,1605542,1604542,1603542,torch_not_available
42,16,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,1605642,1604642,1603642,torch_not_available
