replication,contract_id,method,phase,runtime_s,timing_repetition_index
11,strike_high,MC,pricing,0.06428659800008063,1
11,strike_high,AV,pricing,0.10002260599992496,1
11,strike_high,GCV,pilot,0.012046352999959709,1
11,strike_high,GCV,pricing,0.04927666699995825,1
11,volatility_low,MC,pricing,0.0646583320000218,1
11,volatility_low,AV,pricing,0.09972943800005396,1
11,volatility_low,GCV,pilot,0.011923333000027014,1
11,volatility_low,GCV,pricing,0.04911617799996293,1
11,volatility_high,MC,pricing,0.06428070800006935,1
11,volatility_high,AV,pricing,0.09995470899991687,1
11,volatility_high,GCV,pilot,0.012200681000081204,1
11,volatility_high,GCV,pricing,0.049189193999950476,1
11,maturity_short,MC,pricing,0.06405176999999185,1
11,maturity_short,AV,pricing,0.0998530589999973,1
11,maturity_short,GCV,pilot,0.011873981000007916,1
11,maturity_short,GCV,pricing,0.05107795799995074,1
11,maturity_long,MC,pricing,0.06453260700004648,1
11,maturity_long,AV,pricing,0.09999607600002491,1
11,maturity_long,GCV,pilot,0.012061721999998554,1
11,maturity_long,GCV,pricing,0.05009724800004278,1
12,reference,MC,pricing,0.06498640400002387,1
12,reference,AV,pricing,0.10072551600001134,1
12,reference,GCV,pilot,0.011864494000064951,1
12,reference,GCV,pricing,0.04914076300008219,1
12,strike_low,MC,pricing,0.06496628699994744,1
12,strike_low,AV,pricing,0.09980565000000752,1
12,strike_low,GCV,pilot,0.011890010999991318,1
12,strike_low,GCV,pricing,0.04978673900006925,1
12,strike_high,MC,pricing,0.06613114999993286,1
12,strike_high,AV,pricing,0.09943642199993974,1
12,strike_high,GCV,pilot,0.011838304999969296,1
12,strike_high,GCV,pricing,0.048884885999996186,1
12,volatility_low,MC,pricing,0.0639905960000533,1
12,volatility_low,AV,pricing,0.10012681899991094,1
12,volatility_low,GCV,pilot,0.011904708999963987,1
12,volatility_low,GCV,pricing,0.050715868999986924,1
12,volatility_high,MC,pricing,0.06404241799998545,1
12,volatility_high,AV,pricing,0.09984856599999148,1
12,volatility_high,GCV,pilot,0.012144623999915893,1
12,volatility_high,GCV,pricing,0.04984712899999977,1
12,maturity_short,MC,pricing,0.06425670700002684,1
12,maturity_short,AV,pricing,0.09936503400001584,1
12,maturity_short,GCV,pilot,0.012123032999966199,1
12,maturity_short,GCV,pricing,0.04863603000001149,1
12,maturity_long,MC,pricing,0.06445521699993151,1
12,maturity_long,AV,pricing,0.0991732160000538,1
12,maturity_long,GCV,pilot,0.012059214000032625,1
12,maturity_long,GCV,pricing,0.0490105979999953,1
13,reference,MC,pricing,0.06486324799993781,1
13,reference,AV,pricing,0.09901566200005618,1
13,reference,GCV,pilot,0.011721373999989737,1
13,reference,GCV,pricing,0.048106932999985474,1
13,strike_low,MC,pricing,0.06368378800004848,1
13,strike_low,AV,pricing,0.09927272200002335,1
13,strike_low,GCV,pilot,0.011685607000003984,1
13,strike_low,GCV,pricing,0.048987746000079824,1
13,strike_high,MC,pricing,0.06507651600009012,1
13,strike_high,AV,pricing,0.09882157000004099,1
13,strike_high,GCV,pilot,0.011783320000063213,1
13,strike_high,GCV,pricing,0.04872061800006122,1
13,volatility_low,MC,pricing,0.06400708200010286,1
13,volatility_low,AV,pricing,0.09908492199997454,1
13,volatility_low,GCV,pilot,0.011812473999953,1
13,volatility_low,GCV,pricing,0.048670103999938874,1
13,volatility_high,MC,pricing,0.06425258900003428,1
13,volatility_high,AV,pricing,0.09859629000004588,1
13,volatility_high,GCV,pilot,0.011701155999958246,1
13,volatility_high,GCV,pricing,0.04895721900004446,1
13,maturity_short,MC,pricing,0.0641530130000092,1
13,maturity_short,AV,pricing,0.10004313899992212,1
13,maturity_short,GCV,pilot,0.012141548000045077,1
13,maturity_short,GCV,pricing,0.0487301649999381,1
13,maturity_long,MC,pricing,0.06414867599994523,1
13,maturity_long,AV,pricing,0.09883779100005086,1
13,maturity_long,GCV,pilot,0.011677591999955439,1
13,maturity_long,GCV,pricing,0.04870378600003278,1
14,reference,MC,pricing,0.06400484799996775,1
14,reference,AV,pricing,0.09932393799999772,1
14,reference,GCV,pilot,0.01174243299999489,1
14,reference,GCV,pricing,0.04923202199995558,1
14,strike_low,MC,pricing,0.06471521200001007,1
14,strike_low,AV,pricing,0.09938144499994905,1
14,strike_low,GCV,pilot,0.011538642000004984,1
14,strike_low,GCV,pricing,0.04866343100002268,1
14,strike_high,MC,pricing,0.06393090900007792,1
14,strike_high,AV,pricing,0.0992018189999726,1
14,strike_high,GCV,pilot,0.011874328999965655,1
14,strike_high,GCV,pricing,0.05069111400007387,1
14,volatility_low,MC,pricing,0.06423242099992876,1
14,volatility_low,AV,pricing,0.09970115099997656,1
14,volatility_low,GCV,pilot,0.011737494000044535,1
14,volatility_low,GCV,pricing,0.04887127800009239,1
14,volatility_high,MC,pricing,0.06849036400001296,1
14,volatility_high,AV,pricing,0.10635764400001335,1
14,volatility_high,GCV,pilot,0.011831779999965875,1
14,volatility_high,GCV,pricing,0.04951281600006041,1
14,maturity_short,MC,pricing,0.06412049200002912,1
14,maturity_short,AV,pricing,0.09913868199998888,1
14,maturity_short,GCV,pilot,0.011487407000004168,1
14,maturity_short,GCV,pricing,0.04852378099997168,1
14,maturity_long,MC,pricing,0.06458361700003934,1
14,maturity_long,AV,pricing,0.10157607799999369,1
14,maturity_long,GCV,pilot,0.01199565599995367,1
14,maturity_long,GCV,pricing,0.0494176280000147,1
15,reference,MC,pricing,0.06554937800001426,1
15,reference,AV,pricing,0.09969423799998367,1
15,reference,GCV,pilot,0.011752832999945895,1
15,reference,GCV,pricing,0.050637854000001425,1
15,strike_low,MC,pricing,0.06462729800000488,1
15,strike_low,AV,pricing,0.09958558499999981,1
15,strike_low,GCV,pilot,0.01168960400002561,1
15,strike_low,GCV,pricing,0.04923019800003203,1
15,strike_high,MC,pricing,0.06424120799999855,1
15,strike_high,AV,pricing,0.09931729499999165,1
15,strike_high,GCV,pilot,0.012176933000091594,1
15,strike_high,GCV,pricing,0.049239987000078145,1
15,volatility_low,MC,pricing,0.06485108599997602,1
15,volatility_low,AV,pricing,0.09946713399995133,1
15,volatility_low,GCV,pilot,0.011867425999980696,1
15,volatility_low,GCV,pricing,0.048645167000017864,1
15,volatility_high,MC,pricing,0.0644625410000117,1
15,volatility_high,AV,pricing,0.10155297599999358,1
15,volatility_high,GCV,pilot,0.012100902000042879,1
15,volatility_high,GCV,pricing,0.04949024300003657,1
15,maturity_short,MC,pricing,0.06518369600007645,1
15,maturity_short,AV,pricing,0.09961135400010335,1
15,maturity_short,GCV,pilot,0.011619644000006701,1
15,maturity_short,GCV,pricing,0.048947440999995706,1
15,maturity_long,MC,pricing,0.06442540199998348,1
15,maturity_long,AV,pricing,0.0990187979999746,1
15,maturity_long,GCV,pilot,0.011741442000015923,1
15,maturity_long,GCV,pricing,0.05004030899999634,1
16,reference,MC,pricing,0.06401605799999288,1
16,reference,AV,pricing,0.09861346200000298,1
16,reference,GCV,pilot,0.011656312000013713,1
16,reference,GCV,pricing,0.04860266799994406,1
16,strike_low,MC,pricing,0.0640030240000442,1
16,strike_low,AV,pricing,0.0991041380000297,1
16,strike_low,GCV,pilot,0.012509063000038623,1
16,strike_low,GCV,pricing,0.04887293199999476,1
16,strike_high,MC,pricing,0.06441059399992355,1
16,strike_high,AV,pricing,0.09888249400000859,1
16,strike_high,GCV,pilot,0.012462595999977566,1
16,strike_high,GCV,pricing,0.05061111399993479,1
16,volatility_low,MC,pricing,0.06451307500003622,1
16,volatility_low,AV,pricing,0.10106015600001683,1
16,volatility_low,GCV,pilot,0.013254432999929122,1
16,volatility_low,GCV,pricing,0.05223968199993578,1
16,volatility_high,MC,pricing,0.0649301739999828,1
16,volatility_high,AV,pricing,0.09971113899996453,1
16,volatility_high,GCV,pilot,0.012726468999971985,1
16,volatility_high,GCV,pricing,0.04960115099993345,1
16,maturity_short,MC,pricing,0.06523177600001873,1
16,maturity_short,AV,pricing,0.10194827299994813,1
16,maturity_short,GCV,pilot,0.012806877999992139,1
16,maturity_short,GCV,pricing,0.049629022999965855,1
16,maturity_long,MC,pricing,0.06481925299999602,1
16,maturity_long,AV,pricing,0.0997041599999875,1
16,maturity_long,GCV,pilot,0.012729282999998759,1
16,maturity_long,GCV,pricing,0.04885029700005816,1
17,reference,MC,pricing,0.06498333799993361,1
17,reference,AV,pricing,0.09980827300000783,1
17,reference,GCV,pilot,0.012456584000005932,1
17,reference,GCV,pricing,0.05024351500003377,1
17,strike_low,MC,pricing,0.064552123999988,1
17,strike_low,AV,pricing,0.09926167499997973,1
17,strike_low,GCV,pilot,0.012572900999998637,1
17,strike_low,GCV,pricing,0.049237888999982715,1
17,strike_high,MC,pricing,0.06459522400007245,1
17,strike_high,AV,pricing,0.10022328700006256,1
17,strike_high,GCV,pilot,0.012590734000013981,1
17,strike_high,GCV,pricing,0.04843761600000107,1
17,volatility_low,MC,pricing,0.06417722399999093,1
17,volatility_low,AV,pricing,0.09925074400007361,1
17,volatility_low,GCV,pilot,0.012402663999978358,1
17,volatility_low,GCV,pricing,0.0488585419999481,1
17,volatility_high,MC,pricing,0.0649190679999947,1
